Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
Good,< 0 DM,11,critical account,New car,3905,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,real estate,36,none,rent,2,skilled employee / official,2,Yes,Yes
Good,< 0 DM,30,critical account,Used car,6187,100<= ... < 500 DM,4<=...<7 years,1,male: married/widowed,none,>4years,car or other,24,none,rent,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,6,critical account,Radio/Television,1957,< 100 DM,4<=...<7 years,1,female: divorced/separated/married,none,>4years,car or other,31,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,48,delay in paying off in the past,Others,7582,100<= ... < 500 DM,unemployed,2,male: single,none,>4years,unknown / no property,31,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,< 0 DM,18,existing credits paid back duly till now,Radio/Television,1936,unknown/ no savings account,4<=...<7 years,2,male: married/widowed,none,>4years,car or other,23,none,rent,2,unskilled - resident,1,Yes,Yes
Good,< 0 DM,6,existing credits paid back duly till now,Radio/Television,2647,500<= ... < 1000 DM,1<=...<4 years,2,male: single,none,2<...<=3 years,real estate,44,none,rent,1,skilled employee / official,2,Yes,Yes
Good,< 0 DM,11,critical account,New car,3939,< 100 DM,1<=...<4 years,1,male: single,none,1<...<=2 years,real estate,40,none,own,2,unskilled - resident,2,Yes,Yes
Good,0 <=...<200 DM,18,existing credits paid back duly till now,Radio/Television,3213,500<= ... < 1000 DM,< 1 year,1,male: married/widowed,none,2<...<=3 years,real estate,25,none,rent,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,36,critical account,Radio/Television,2337,< 100 DM,>=7years,4,male: single,none,>4years,real estate,36,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,11,critical account,New car,7228,< 100 DM,1<=...<4 years,1,male: single,none,>4years,savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,Yes,Yes
Good,< 0 DM,6,critical account,New car,3676,< 100 DM,1<=...<4 years,1,male: single,none,2<...<=3 years,real estate,37,none,rent,3,skilled employee / official,2,Yes,Yes
Good,0 <=...<200 DM,12,critical account,New car,3124,< 100 DM,< 1 year,1,male: single,none,2<...<=3 years,real estate,49,bank,own,2,unskilled - resident,2,Yes,Yes
Bad,0 <=...<200 DM,36,existing credits paid back duly till now,Repairs,2384,< 100 DM,< 1 year,4,male: single,none,<= 1 year,unknown / no property,33,none,rent,1,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,12,critical account,Domestic Appliances,1424,< 100 DM,4<=...<7 years,4,male: single,none,2<...<=3 years,savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,6,critical account,New car,4716,unknown/ no savings account,< 1 year,1,male: single,none,2<...<=3 years,real estate,44,none,own,2,unskilled - resident,2,Yes,Yes
Good,0 <=...<200 DM,11,delay in paying off in the past,Radio/Television,4771,< 100 DM,4<=...<7 years,2,male: single,none,>4years,savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,12,existing credits paid back duly till now,Furniture/Equipment,652,< 100 DM,>=7years,4,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,9,critical account,Radio/Television,1154,< 100 DM,>=7years,2,male: single,none,>4years,real estate,37,none,own,3,unskilled - resident,1,Yes,Yes
Good,No checking account,15,existing credits paid back duly till now,New car,3556,unknown/ no savings account,1<=...<4 years,3,male: single,none,1<...<=2 years,unknown / no property,29,none,own,1,skilled employee / official,1,Yes,Yes
Good,> 200 DM,42,critical account,Used car,4796,< 100 DM,>=7years,4,male: single,none,>4years,unknown / no property,56,none,for free,1,skilled employee / official,1,Yes,Yes
Good,> 200 DM,30,critical account,Radio/Television,3017,< 100 DM,>=7years,4,male: single,none,>4years,savings agreement/ life insurance,47,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,36,critical account,New car,3535,< 100 DM,4<=...<7 years,4,male: single,none,>4years,car or other,37,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,36,critical account,New car,6614,< 100 DM,>=7years,4,male: single,none,>4years,car or other,34,none,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Radio/Television,1376,500<= ... < 1000 DM,4<=...<7 years,4,female: divorced/separated/married,none,<= 1 year,car or other,28,none,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,15,existing credits paid back duly till now,New car,1721,< 100 DM,< 1 year,2,male: single,none,2<...<=3 years,real estate,36,none,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,6,critical account,New car,860,< 100 DM,>=7years,1,female: divorced/separated/married,none,>4years,unknown / no property,39,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,12,critical account,New car,1495,< 100 DM,>=7years,4,male: single,none,<= 1 year,real estate,38,none,own,2,unskilled - resident,2,Yes,Yes
Good,No checking account,12,critical account,Radio/Television,1934,< 100 DM,>=7years,2,male: single,none,1<...<=2 years,unknown / no property,26,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,18,existing credits paid back duly till now,Used car,3378,unknown/ no savings account,1<=...<4 years,2,male: single,none,<= 1 year,savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,24,critical account,Used car,3868,< 100 DM,>=7years,4,female: divorced/separated/married,none,1<...<=2 years,car or other,41,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,12,critical account,Repairs,996,unknown/ no savings account,4<=...<7 years,4,female: divorced/separated/married,none,>4years,real estate,23,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,24,existing credits paid back duly till now,Others,1755,< 100 DM,>=7years,4,female: divorced/separated/married,guarantor,>4years,real estate,58,none,own,1,unskilled - resident,1,No,Yes
Good,No checking account,18,critical account,New car,1028,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,none,2<...<=3 years,real estate,36,none,own,2,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,24,critical account,Business,2825,unknown/ no savings account,4<=...<7 years,4,male: single,none,2<...<=3 years,unknown / no property,34,none,own,2,skilled employee / official,2,No,Yes
Good,0 <=...<200 DM,18,existing credits paid back duly till now,Education,1239,unknown/ no savings account,1<=...<4 years,4,male: single,none,>4years,unknown / no property,61,none,for free,1,skilled employee / official,1,Yes,Yes
Bad,< 0 DM,18,existing credits paid back duly till now,New car,1216,< 100 DM,< 1 year,4,female: divorced/separated/married,none,2<...<=3 years,car or other,23,none,rent,1,skilled employee / official,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Business,1258,< 100 DM,4<=...<7 years,4,male: single,none,<= 1 year,real estate,25,none,own,1,skilled employee / official,1,No,Yes
Bad,No checking account,18,critical account,Education,1864,100<= ... < 500 DM,1<=...<4 years,4,female: divorced/separated/married,none,1<...<=2 years,real estate,30,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,24,existing credits paid back duly till now,New car,1474,100<= ... < 500 DM,< 1 year,4,male: married/widowed,none,2<...<=3 years,real estate,33,none,own,1,skilled employee / official,1,No,Yes
Good,< 0 DM,24,critical account,Business,1382,100<= ... < 500 DM,4<=...<7 years,4,male: single,none,<= 1 year,real estate,26,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,12,existing credits paid back duly till now,New car,640,< 100 DM,1<=...<4 years,4,male: divorced/separated,none,1<...<=2 years,real estate,49,none,own,1,unskilled - resident,1,Yes,Yes
Good,> 200 DM,36,existing credits paid back duly till now,Radio/Television,3919,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,real estate,23,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,9,critical account,New car,1224,< 100 DM,1<=...<4 years,3,male: single,none,<= 1 year,real estate,30,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,Radio/Television,2331,unknown/ no savings account,>=7years,1,male: single,co-applicant,>4years,real estate,49,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Used car,6313,unknown/ no savings account,>=7years,3,male: single,none,>4years,car or other,41,none,own,1,management/ self-employed/highly qualified employee/ officer,2,No,Yes
Good,< 0 DM,12,critical account,Radio/Television,385,< 100 DM,4<=...<7 years,4,female: divorced/separated/married,none,2<...<=3 years,real estate,58,none,own,4,unskilled - resident,1,No,Yes
Good,No checking account,12,critical account,Radio/Television,1655,< 100 DM,>=7years,2,male: single,none,>4years,real estate,63,none,own,2,unskilled - resident,1,No,Yes
Good,< 0 DM,15,existing credits paid back duly till now,Radio/Television,1053,< 100 DM,< 1 year,4,male: married/widowed,none,1<...<=2 years,real estate,27,none,own,1,skilled employee / official,1,Yes,No
Good,No checking account,21,existing credits paid back duly till now,Radio/Television,3160,unknown/ no savings account,>=7years,4,male: single,none,2<...<=3 years,savings agreement/ life insurance,41,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,36,existing credits paid back duly till now,New car,3079,unknown/ no savings account,1<=...<4 years,4,male: single,none,>4years,real estate,36,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,12,critical account,New car,1163,500<= ... < 1000 DM,1<=...<4 years,4,male: single,none,>4years,real estate,44,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Used car,2679,< 100 DM,< 1 year,4,female: divorced/separated/married,none,<= 1 year,unknown / no property,29,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,48,critical account,Radio/Television,3578,unknown/ no savings account,>=7years,4,male: single,none,<= 1 year,real estate,47,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,36,delay in paying off in the past,New car,10875,< 100 DM,>=7years,2,male: single,none,1<...<=2 years,car or other,45,none,own,2,skilled employee / official,2,No,Yes
Good,< 0 DM,12,delay in paying off in the past,New car,1344,< 100 DM,1<=...<4 years,4,male: single,none,1<...<=2 years,real estate,43,none,own,2,unskilled - resident,2,Yes,Yes
Good,No checking account,6,critical account,Radio/Television,1237,100<= ... < 500 DM,1<=...<4 years,1,female: divorced/separated/married,none,<= 1 year,savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,Yes,Yes
Good,No checking account,12,existing credits paid back duly till now,Radio/Television,3077,< 100 DM,1<=...<4 years,2,male: single,none,>4years,car or other,52,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Radio/Television,2284,< 100 DM,4<=...<7 years,4,male: single,none,1<...<=2 years,car or other,28,none,own,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,12,existing credits paid back duly till now,Radio/Television,1567,< 100 DM,1<=...<4 years,1,female: divorced/separated/married,none,<= 1 year,car or other,22,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,24,delay in paying off in the past,New car,2032,< 100 DM,>=7years,4,male: single,none,>4years,unknown / no property,60,none,for free,2,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,21,critical account,Furniture/Equipment,2745,=>1000 DM,4<=...<7 years,3,male: single,none,1<...<=2 years,car or other,32,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,30,existing credits paid back duly till now,Radio/Television,1867,unknown/ no savings account,>=7years,4,male: single,none,>4years,car or other,58,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,36,existing credits paid back duly till now,Radio/Television,2299,500<= ... < 1000 DM,>=7years,4,male: single,none,>4years,car or other,39,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,existing credits paid back duly till now,Furniture/Equipment,929,unknown/ no savings account,4<=...<7 years,4,male: single,none,1<...<=2 years,car or other,31,stores,own,1,skilled employee / official,1,No,Yes
Good,> 200 DM,12,existing credits paid back duly till now,Radio/Television,3399,unknown/ no savings account,>=7years,2,male: single,none,2<...<=3 years,car or other,37,none,own,1,management/ self-employed/highly qualified employee/ officer,1,Yes,Yes
Good,0 <=...<200 DM,9,existing credits paid back duly till now,Furniture/Equipment,2030,unknown/ no savings account,4<=...<7 years,2,male: single,none,<= 1 year,car or other,24,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,21,critical account,Used car,3275,< 100 DM,>=7years,1,male: single,none,>4years,car or other,36,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,24,critical account,New car,1940,=>1000 DM,>=7years,4,male: single,none,>4years,real estate,60,none,own,1,skilled employee / official,1,No,Yes
Good,< 0 DM,21,critical account,New car,1602,< 100 DM,>=7years,4,male: married/widowed,none,2<...<=3 years,car or other,30,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,15,existing credits paid back duly till now,Radio/Television,1979,unknown/ no savings account,>=7years,4,male: single,none,1<...<=2 years,car or other,35,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,critical account,New car,2022,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,none,>4years,car or other,37,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,36,critical account,Radio/Television,3342,unknown/ no savings account,>=7years,4,male: single,none,1<...<=2 years,car or other,51,none,own,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,18,existing credits paid back duly till now,New car,5866,100<= ... < 500 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,car or other,30,none,own,2,skilled employee / official,1,No,Yes
Good,> 200 DM,15,critical account,Used car,2360,500<= ... < 1000 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,car or other,36,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,15,critical account,Furniture/Equipment,1520,unknown/ no savings account,>=7years,4,male: single,none,>4years,savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,12,existing credits paid back duly till now,New car,3651,=>1000 DM,1<=...<4 years,1,male: single,none,2<...<=3 years,savings agreement/ life insurance,31,none,own,1,skilled employee / official,2,Yes,Yes
Good,No checking account,24,critical account,Used car,2346,< 100 DM,4<=...<7 years,4,male: single,none,2<...<=3 years,car or other,35,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,36,delay in paying off in the past,Radio/Television,4454,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,none,>4years,real estate,34,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,6,critical account,New car,666,=>1000 DM,4<=...<7 years,3,female: divorced/separated/married,none,>4years,real estate,39,none,own,2,unskilled - resident,1,No,Yes
Good,0 <=...<200 DM,24,delay in paying off in the past,New car,1965,unknown/ no savings account,1<=...<4 years,4,female: divorced/separated/married,none,>4years,car or other,42,none,rent,2,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,12,critical account,New car,1995,100<= ... < 500 DM,< 1 year,4,male: single,none,<= 1 year,car or other,27,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,30,existing credits paid back duly till now,Radio/Television,2991,unknown/ no savings account,>=7years,2,female: divorced/separated/married,none,>4years,car or other,25,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,30,no credits taken,Business,4221,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,<= 1 year,car or other,28,none,own,2,skilled employee / official,1,Yes,Yes
Good,< 0 DM,9,existing credits paid back duly till now,Radio/Television,1364,< 100 DM,4<=...<7 years,3,male: single,none,>4years,real estate,59,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,18,critical account,Furniture/Equipment,6361,< 100 DM,>=7years,2,male: single,none,<= 1 year,unknown / no property,41,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,27,critical account,Furniture/Equipment,4526,=>1000 DM,< 1 year,4,male: single,none,1<...<=2 years,real estate,32,stores,own,2,unskilled - resident,2,No,Yes
Good,0 <=...<200 DM,12,critical account,Radio/Television,3573,< 100 DM,1<=...<4 years,1,female: divorced/separated/married,none,<= 1 year,real estate,23,none,own,1,unskilled - resident,1,Yes,Yes
Bad,0 <=...<200 DM,36,delay in paying off in the past,Business,4455,< 100 DM,1<=...<4 years,2,male: divorced/separated,none,1<...<=2 years,real estate,30,stores,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,< 0 DM,9,existing credits paid back duly till now,Furniture/Equipment,2136,< 100 DM,1<=...<4 years,3,male: single,none,1<...<=2 years,real estate,25,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,42,critical account,Business,5954,< 100 DM,4<=...<7 years,2,female: divorced/separated/married,none,<= 1 year,real estate,41,bank,own,2,unskilled - resident,1,Yes,Yes
Good,No checking account,24,critical account,Furniture/Equipment,3777,=>1000 DM,1<=...<4 years,4,male: single,none,>4years,real estate,40,none,own,1,skilled employee / official,1,No,Yes
Good,< 0 DM,15,existing credits paid back duly till now,Business,806,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,24,delay in paying off in the past,Business,4712,unknown/ no savings account,1<=...<4 years,4,male: single,none,1<...<=2 years,savings agreement/ life insurance,34,bank,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,0 <=...<200 DM,36,delay in paying off in the past,New car,7432,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,54,none,rent,1,skilled employee / official,1,Yes,Yes
Good,No checking account,24,critical account,Radio/Television,1851,< 100 DM,4<=...<7 years,4,male: married/widowed,guarantor,1<...<=2 years,car or other,33,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,New car,1393,< 100 DM,1<=...<4 years,2,male: single,guarantor,1<...<=2 years,real estate,31,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,12,critical account,Business,1412,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,guarantor,1<...<=2 years,real estate,29,none,own,2,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,18,existing credits paid back duly till now,Radio/Television,1473,< 100 DM,< 1 year,3,male: married/widowed,none,>4years,real estate,39,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Radio/Television,1533,< 100 DM,< 1 year,4,female: divorced/separated/married,none,2<...<=3 years,car or other,38,stores,own,1,skilled employee / official,1,No,Yes
Good,No checking account,12,critical account,Education,2012,unknown/ no savings account,4<=...<7 years,4,female: divorced/separated/married,none,1<...<=2 years,car or other,61,none,own,1,skilled employee / official,1,Yes,Yes
Bad,< 0 DM,15,existing credits paid back duly till now,New car,3959,< 100 DM,1<=...<4 years,3,female: divorced/separated/married,none,1<...<=2 years,savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,No,Yes
Good,< 0 DM,6,existing credits paid back duly till now,Furniture/Equipment,428,< 100 DM,>=7years,2,female: divorced/separated/married,none,<= 1 year,savings agreement/ life insurance,49,bank,own,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,12,critical account,New car,2366,500<= ... < 1000 DM,4<=...<7 years,3,male: divorced/separated,none,2<...<=3 years,car or other,36,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,12,existing credits paid back duly till now,Furniture/Equipment,763,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,none,<= 1 year,real estate,26,none,own,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,21,existing credits paid back duly till now,Furniture/Equipment,3976,unknown/ no savings account,4<=...<7 years,2,male: single,none,2<...<=3 years,car or other,35,none,own,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,18,existing credits paid back duly till now,New car,6260,< 100 DM,4<=...<7 years,3,male: single,none,2<...<=3 years,real estate,28,none,rent,1,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,9,critical account,Furniture/Equipment,1919,< 100 DM,4<=...<7 years,4,male: single,none,2<...<=3 years,car or other,35,none,rent,1,skilled employee / official,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Used car,2603,=>1000 DM,1<=...<4 years,2,female: divorced/separated/married,none,>4years,car or other,28,none,rent,1,skilled employee / official,1,No,Yes
Good,No checking account,9,critical account,Education,936,500<= ... < 1000 DM,>=7years,4,male: single,none,1<...<=2 years,car or other,52,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,24,existing credits paid back duly till now,Furniture/Equipment,3062,500<= ... < 1000 DM,>=7years,4,male: single,none,2<...<=3 years,unknown / no property,32,none,rent,1,skilled employee / official,1,No,Yes
Good,0 <=...<200 DM,36,existing credits paid back duly till now,Radio/Television,4795,< 100 DM,< 1 year,4,female: divorced/separated/married,none,<= 1 year,unknown / no property,30,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,36,critical account,Used car,5842,< 100 DM,>=7years,2,male: single,none,1<...<=2 years,savings agreement/ life insurance,35,none,own,2,skilled employee / official,2,No,Yes
Good,0 <=...<200 DM,6,existing credits paid back duly till now,Radio/Television,2063,< 100 DM,< 1 year,4,male: married/widowed,none,2<...<=3 years,car or other,30,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,15,critical account,Radio/Television,1459,< 100 DM,1<=...<4 years,4,female: divorced/separated/married,none,1<...<=2 years,car or other,43,none,own,1,unskilled - resident,1,Yes,Yes
Good,No checking account,15,existing credits paid back duly till now,Radio/Television,1213,500<= ... < 1000 DM,>=7years,4,male: single,none,2<...<=3 years,savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,No,Yes
Good,No checking account,24,critical account,Radio/Television,5103,< 100 DM,< 1 year,3,male: married/widowed,none,2<...<=3 years,unknown / no property,47,none,for free,3,skilled employee / official,1,No,Yes
Good,No checking account,15,existing credits paid back duly till now,Domestic Appliances,874,unknown/ no savings account,< 1 year,4,female: divorced/separated/married,none,<= 1 year,real estate,24,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,6,existing credits paid back duly till now,Furniture/Equipment,2978,500<= ... < 1000 DM,1<=...<4 years,1,male: single,none,1<...<=2 years,car or other,32,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,18,existing credits paid back duly till now,New car,1820,< 100 DM,1<=...<4 years,2,male: married/widowed,none,1<...<=2 years,savings agreement/ life insurance,30,none,own,1,management/ self-employed/highly qualified employee/ officer,1,No,Yes
Good,No checking account,24,critical account,Radio/Television,2872,100<= ... < 500 DM,>=7years,3,male: single,none,>4years,real estate,36,none,own,1,skilled employee / official,2,No,Yes
Good,> 200 DM,24,existing credits paid back duly till now,Furniture/Equipment,1925,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,real estate,26,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,18,existing credits paid back duly till now,Furniture/Equipment,2515,< 100 DM,1<=...<4 years,3,male: single,none,>4years,real estate,43,none,own,1,skilled employee / official,1,No,Yes
Good,> 200 DM,6,existing credits paid back duly till now,Furniture/Equipment,2116,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,real estate,41,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,18,existing credits paid back duly till now,Radio/Television,1453,< 100 DM,< 1 year,3,female: divorced/separated/married,none,<= 1 year,real estate,26,none,own,1,skilled employee / official,1,Yes,Yes
Good,No checking account,10,existing credits paid back duly till now,New car,1364,< 100 DM,1<=...<4 years,2,female: divorced/separated/married,none,>4years,car or other,64,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,6,existing credits paid back duly till now,Furniture/Equipment,1543,=>1000 DM,1<=...<4 years,4,male: divorced/separated,none,1<...<=2 years,real estate,33,none,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,12,existing credits paid back duly till now,New car,1318,=>1000 DM,>=7years,4,male: single,none,>4years,real estate,54,none,own,1,skilled employee / official,1,No,Yes
Good,< 0 DM,24,all credits at this bank paid back duly,New car,2325,100<= ... < 500 DM,4<=...<7 years,2,male: single,none,2<...<=3 years,car or other,32,bank,own,1,skilled employee / official,1,Yes,Yes
Good,0 <=...<200 DM,6,critical account,Retraining,932,unknown/ no savings account,4<=...<7 years,1,female: divorced/separated/married,none,2<...<=3 years,savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,Yes,Yes
Good,> 200 DM,24,critical account,Radio/Television,3148,unknown/ no savings account,1<=...<4 years,3,male: single,none,1<...<=2 years,car or other,31,none,own,2,skilled employee / official,1,No,Yes
Good,No checking account,36,existing credits paid back duly till now,Radio/Television,3835,unknown/ no savings account,>=7years,2,female: divorced/separated/married,none,>4years,real estate,45,none,own,1,unskilled - resident,1,No,Yes
Good,No checking account,9,existing credits paid back duly till now,Education,3832,unknown/ no savings account,>=7years,1,male: single,none,>4years,real estate,64,none,own,1,unskilled - resident,1,Yes,Yes
Good,0 <=...<200 DM,24,existing credits paid back duly till now,Radio/Television,5084,unknown/ no savings account,>=7years,2,female: divorced/separated/married,none,>4years,car or other,42,none,own,1,skilled employee / official,1,No,Yes
Good,No checking account,9,critical account,Furniture/Equipment,2406,< 100 DM,unemployed,2,male: single,none,2<...<=3 years,car or other,31,none,own,1,management/ self-employed/highly qualified employee/ officer,1,Yes,Yes
Good,No checking account,36,existing credits paid back duly till now,Radio/Television,2394,unknown/ no savings account,1<=...<4 years,4,female: divorced/separated/married,none,>4years,car or other,25,none,own,1,skilled employee / official,1,Yes,Yes
